,ID,Country,Latitude,Longitude,Page,Battle,Year,Participants,War,Winner,Loser,Participant 1,Participant 2,Lehmann Zhukov Scale,Theatre,Polygon,Massacre,Alternative Sources Consulted,Infered Scale,Minor
146,Admagetobriga-61,France,46.8278005,5.1965099,10,Admagetobriga,-61,"['Germanic', 'Suebian', 'Sequani', 'Aedui', 'Rome', 'Germanic', 'Admagetobriga', 'Alsace']",Rome's Later Gallic Wars,Suebians,Aedui,Suebians,Aedui,,Land,,No,,For location - https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.04.0062%3Aalphabetic+letter%3DM%3Aentry+group%3D2%3Aentry%3Dmagetobria-harpers,
147,,,,,NA,,,,,,,,,,,,,,,
148,Admin Box1944,Myanmar,21.647067,91.5459743,10,Admin Box,1944,"['British', 'Arakan', 'Japanese', 'British']",['World War II'],United Kingdom,Japan,United Kingdom,Japan,2,Land,,No,,,
149,,,,,NA,,,,,,,,,,,,,,,
150,Admiralty Islands1944,Papua New Guinea,-2.0941169,146.8760951,10,Admiralty Islands,1944,"['American', 'Ad-    miralty Islands', 'Papua New Guinea', 'Australian', 'Americans', 'Japanese']",['World War II'],"United States, Australia",Japan,United States,Japan,3,Land,,No,,"Encyclopedia of Warfare, Amber Books, London 2014, p 853",
151,,,,,NA,,,,,,,,,,,,,,,
152,Adobe Walls1864,United States,29.4035274,-103.6033842,10,Adobe Walls,1864,"['Texas', 'New Mexico']",Comanche Indian Wars,United States,Comanche Indians,United States,Comanche Indians,1,Land,,No,,"Encyclopedia of Warfare, Showalter, 2014, p606",
153,,,,,NA,,,,,,,,,,,,,,,
154,Adobe Walls1874,United States,29.4035274,-103.6033842,10,Adobe Walls,1874,"['Kiowa', 'Texas', 'Indians']",['Indian War       '],United States,"Comanche Indians, Kiowa Indians, Arapaho Indians, Cheyenne Indians",United States,"Comanche Indians, Kiowa Indians, Arapaho Indians, Cheyenne Indians",1,Land,,No,,"Encyclopedia of Warfare, Showalter, 2014, p610-611",
155,,,,,NA,,,,,,,,,,,,,,,
156,Adowa1896,Ethiopia,14.1636465,38.8937176,11,Adowa,1896,"['Italo', 'Italian', 'Ethiopia', 'Italian', 'Adowa', 'Ethiopian', 'European']",1st Italo-Ethiopian War,Ethiopia,Italy,Ethiopia,Italy,4,Land,ADA1896,No,,"Wars of Imperial Conquest in Africa 1830-1914, Bruce Vandervoort, Indiana Univeristy Press 1998, p160",
157,,,,,NA,,,,,,,,,,,,,,,
158,Adowa1935,Ethiopia,14.1636465,38.8937176,11,Adowa,1935,"['Italo', 'Ethiopia', 'Adowa', 'Ethiopia']",2nd Italo-Ethiopian War,Italy,Ethiopia,Italy,Ethiopia,4,Land,,No,,"Encyclopedia of Warfare, Amber Books, London 2014, p797",1
159,,,,,NA,,,,,,,,,,,,,,,
160,Adranum-344,Italy,37.6627555,14.8326154,11,Adranum,-344,"['Carthaginians', 'Carthaginians']",['Timoleons War'],Corinthians,Carthage,Corinthians,Carthage,2,Land,,No,,"Harbottle's Dictionary of Battles, George Bruce, 1979, p110",
161,,,,,NA,,,,,,,,,,,,,,,
